"","female","Topic_study","parents","work","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_5","Q13_6","Q13_7","Q13_8"
"248",0,2,0,1,2,2,2,2,3,2,4,4,4,4
"249",1,2,1,0,3,2,2,2,4,2,5,4,5,5
"250",0,1,0,1,3,4,4,4,4,4,5,4,3,4
"251",0,1,0,1,2,4,4,4,4,4,3,4,4,4
"252",1,2,0,1,3,2,4,4,3,3,3,4,4,4
"253",0,2,1,1,4,3,4,4,4,3,3,2,4,4
"254",1,1,1,1,4,4,4,4,2,4,3,3,2,3
"255",0,2,1,1,2,4,4,2,1,2,2,3,3,2
"256",1,1,0,1,2,3,3,3,3,2,4,4,4,4
"257",1,2,0,1,2,2,1,2,2,2,4,2,3,4
"258",0,2,1,0,5,5,5,3,1,2,4,3,4,4
"259",0,2,1,1,3,3,4,2,3,4,5,5,4,4
"260",0,2,1,1,3,4,5,3,2,2,4,2,3,4
"261",0,2,1,1,2,3,3,2,4,4,3,3,4,4
"262",0,2,1,1,4,2,3,3,2,2,3,4,4,3
"263",0,2,0,0,3,3,3,3,2,3,4,4,4,4
"264",0,2,0,0,2,2,3,3,4,4,4,4,5,4
"265",0,1,0,1,4,4,5,3,1,2,4,3,4,4
"266",0,2,1,1,4,4,4,3,3,4,3,2,3,4
"267",0,1,1,1,3,3,5,5,4,5,5,5,5,5
"268",0,2,1,1,2,4,4,1,2,2,4,3,4,3
"269",0,1,1,1,4,4,5,4,4,3,3,3,3,3
"270",1,2,1,1,2,3,2,4,4,5,5,4,4,5
"271",0,1,1,0,2,4,4,3,4,3,3,4,4,4
"272",0,1,0,0,2,2,4,4,4,4,4,4,3,2
"273",0,1,0,1,2,4,5,2,4,4,3,3,4,4
"274",1,1,1,1,1,2,3,1,2,1,4,3,4,3
"275",1,1,0,0,3,4,3,3,3,3,4,3,5,4
"276",1,1,1,1,2,4,2,2,2,1,5,4,4,4
"277",0,1,1,1,4,4,4,4,4,4,4,4,4,4
"278",1,2,1,0,2,2,2,2,2,2,2,2,3,2
"279",1,2,1,1,3,2,2,4,4,1,5,5,5,5
"280",0,2,0,1,1,1,2,3,2,4,4,4,4,4
